name,instagram,date,followers
Babu,@babusantana,18/01/20,0
Babu,@babusantana,19/01/20,"45,011"
Babu,@babusantana,20/01/20,"48,057"
Babu,@babusantana,21/01/20,"50,474"
Babu,@babusantana,22/01/20,"59,790"
Babu,@babusantana,23/01/20,"78,419"
Babu,@babusantana,24/01/20,"107,928"
Babu,@babusantana,25/01/20,"133,687"
Babu,@babusantana,26/01/20,"154,465"
Babu,@babusantana,27/01/20,"164,950"
Babu,@babusantana,28/01/20,"175,564"
Babu,@babusantana,29/01/20,"188,974"
Babu,@babusantana,30/01/20,"206,756"
Babu,@babusantana,31/01/20,"222,527"
Babu,@babusantana,01/02/20,"235,042"
Babu,@babusantana,02/02/20,"254,373"
Babu,@babusantana,03/02/20,"280,500"
Babu,@babusantana,04/02/20,"299,209"
Babu,@babusantana,05/02/20,"340,333"
Babu,@babusantana,06/02/20,"389,241"
Babu,@babusantana,07/02/20,"618,171"
Babu,@babusantana,08/02/20,"777,464"
Babu,@babusantana,09/02/20,"815,656"
Babu,@babusantana,10/02/20,"875,027"
Babu,@babusantana,11/02/20,"920,978"
Babu,@babusantana,12/02/20,"967,775"
Babu,@babusantana,13/02/20,"991,966"
Babu,@babusantana,14/02/20,"1,005,486"
Babu,@babusantana,15/02/20,"1,006,471"
Babu,@babusantana,16/02/20,"1,001,983"
Babu,@babusantana,17/02/20,"1,008,186"
Babu,@babusantana,18/02/20,"1,008,274"
Babu,@babusantana,19/02/20,"1,013,156"
Babu,@babusantana,20/02/20,"1,017,409"
Babu,@babusantana,21/02/20,"1,023,081"
Babu,@babusantana,22/02/20,"1,028,489"
Babu,@babusantana,23/02/20,"1,028,921"
Bianca,@biancaandradeoficial,18/01/20,"8,292,559"
Bianca,@biancaandradeoficial,19/01/20,"8,394,334"
Bianca,@biancaandradeoficial,20/01/20,"8,421,172"
Bianca,@biancaandradeoficial,21/01/20,"8,444,223"
Bianca,@biancaandradeoficial,22/01/20,"8,522,854"
Bianca,@biancaandradeoficial,23/01/20,"8,587,868"
Bianca,@biancaandradeoficial,24/01/20,"8,628,250"
Bianca,@biancaandradeoficial,25/01/20,"8,731,298"
Bianca,@biancaandradeoficial,26/01/20,"8,828,256"
Bianca,@biancaandradeoficial,27/01/20,"8,904,889"
Bianca,@biancaandradeoficial,28/01/20,"9,006,282"
Bianca,@biancaandradeoficial,29/01/20,"9,098,570"
Bianca,@biancaandradeoficial,30/01/20,"9,206,675"
Bianca,@biancaandradeoficial,31/01/20,"9,258,997"
Bianca,@biancaandradeoficial,01/02/20,"9,300,692"
Bianca,@biancaandradeoficial,02/02/20,"9,354,153"
Bianca,@biancaandradeoficial,03/02/20,"9,285,828"
Bianca,@biancaandradeoficial,04/02/20,"9,103,493"
Bianca,@biancaandradeoficial,05/02/20,"9,058,958"
Bianca,@biancaandradeoficial,06/02/20,"9,056,026"
Bianca,@biancaandradeoficial,07/02/20,"9,064,330"
Bianca,@biancaandradeoficial,08/02/20,"9,069,882"
Bianca,@biancaandradeoficial,09/02/20,"9,078,813"
Bianca,@biancaandradeoficial,10/02/20,"9,080,964"
Bianca,@biancaandradeoficial,11/02/20,"9,092,825"
Bianca,@biancaandradeoficial,12/02/20,"9,114,374"
Bianca,@biancaandradeoficial,13/02/20,"9,129,135"
Bianca,@biancaandradeoficial,14/02/20,"9,140,760"
Bianca,@biancaandradeoficial,15/02/20,"9,141,997"
Bianca,@biancaandradeoficial,16/02/20,"9,147,687"
Bianca,@biancaandradeoficial,17/02/20,"9,156,470"
Bianca,@biancaandradeoficial,18/02/20,"9,167,660"
Bianca,@biancaandradeoficial,19/02/20,"9,178,045"
Bianca,@biancaandradeoficial,20/02/20,"9,193,228"
Bianca,@biancaandradeoficial,21/02/20,"9,205,446"
Bianca,@biancaandradeoficial,22/02/20,"9,210,830"
Bianca,@biancaandradeoficial,23/02/20,"9,226,172"
