name,instagram,date,followers
Babu,@babusantana,01-18-2020,0
Babu,@babusantana,01-19-2020,"45,011"
Babu,@babusantana,01-20-2020,"48,057"
Babu,@babusantana,01-21-2020,"50,474"
Babu,@babusantana,01-22-2020,"59,790"
Babu,@babusantana,01-23-2020,"78,419"
Babu,@babusantana,01-24-2020,"107,928"
Babu,@babusantana,01-25-2020,"133,687"
Babu,@babusantana,01-26-2020,"154,465"
Babu,@babusantana,01-27-2020,"164,950"
Babu,@babusantana,01-28-2020,"175,564"
Babu,@babusantana,01-29-2020,"188,974"
Babu,@babusantana,01-30-2020,"206,756"
Babu,@babusantana,01-31-2020,"222,527"
Babu,@babusantana,02-01-2020,"235,042"
Babu,@babusantana,02-02-2020,"254,373"
Babu,@babusantana,02-03-2020,"280,500"
Babu,@babusantana,02-04-2020,"299,209"
Babu,@babusantana,02-05-2020,"340,333"
Babu,@babusantana,02-06-2020,"389,241"
Babu,@babusantana,02-07-2020,"618,171"
Babu,@babusantana,02-08-2020,"777,464"
Babu,@babusantana,02-09-2020,"815,656"
Babu,@babusantana,02-10-2020,"875,027"
Babu,@babusantana,02-11-2020,"920,978"
Babu,@babusantana,02-12-2020,"967,775"
Babu,@babusantana,02-13-2020,"991,966"
Babu,@babusantana,02-14-2020,"1,005,486"
Babu,@babusantana,02-15-2020,"1,006,471"
Babu,@babusantana,02-16-2020,"1,001,983"
Babu,@babusantana,02-17-2020,"1,008,186"
Babu,@babusantana,02-18-2020,"1,008,274"
Babu,@babusantana,02-19-2020,"1,013,156"
Babu,@babusantana,02-20-2020,"1,017,409"
Babu,@babusantana,02-21-2020,"1,023,081"
Babu,@babusantana,02-22-2020,"1,028,489"
Babu,@babusantana,23/02/20,"1,028,921"
Bianca,@biancaandradeoficial,01-18-2020,"8,292,559"
Bianca,@biancaandradeoficial,01-19-2020,"8,394,334"
Bianca,@biancaandradeoficial,01-20-2020,"8,421,172"
Bianca,@biancaandradeoficial,01-21-2020,"8,444,223"
Bianca,@biancaandradeoficial,01-22-2020,"8,522,854"
Bianca,@biancaandradeoficial,01-23-2020,"8,587,868"
Bianca,@biancaandradeoficial,01-24-2020,"8,628,250"
Bianca,@biancaandradeoficial,01-25-2020,"8,731,298"
Bianca,@biancaandradeoficial,01-26-2020,"8,828,256"
Bianca,@biancaandradeoficial,01-27-2020,"8,904,889"
Bianca,@biancaandradeoficial,01-28-2020,"9,006,282"
Bianca,@biancaandradeoficial,01-29-2020,"9,098,570"
Bianca,@biancaandradeoficial,01-30-2020,"9,206,675"
Bianca,@biancaandradeoficial,01-31-2020,"9,258,997"
Bianca,@biancaandradeoficial,02-01-2020,"9,300,692"
Bianca,@biancaandradeoficial,02-02-2020,"9,354,153"
Bianca,@biancaandradeoficial,02-03-2020,"9,285,828"
Bianca,@biancaandradeoficial,02-04-2020,"9,103,493"
Bianca,@biancaandradeoficial,02-05-2020,"9,058,958"
Bianca,@biancaandradeoficial,02-06-2020,"9,056,026"
Bianca,@biancaandradeoficial,02-07-2020,"9,064,330"
Bianca,@biancaandradeoficial,02-08-2020,"9,069,882"
Bianca,@biancaandradeoficial,02-09-2020,"9,078,813"
Bianca,@biancaandradeoficial,02-10-2020,"9,080,964"
Bianca,@biancaandradeoficial,02-11-2020,"9,092,825"
Bianca,@biancaandradeoficial,02-12-2020,"9,114,374"
Bianca,@biancaandradeoficial,02-13-2020,"9,129,135"
Bianca,@biancaandradeoficial,02-14-2020,"9,140,760"
Bianca,@biancaandradeoficial,02-15-2020,"9,141,997"
Bianca,@biancaandradeoficial,02-16-2020,"9,147,687"
Bianca,@biancaandradeoficial,02-17-2020,"9,156,470"
Bianca,@biancaandradeoficial,02-18-2020,"9,167,660"
Bianca,@biancaandradeoficial,02-19-2020,"9,178,045"
Bianca,@biancaandradeoficial,02-20-2020,"9,193,228"
Bianca,@biancaandradeoficial,02-21-2020,"9,205,446"
Bianca,@biancaandradeoficial,02-22-2020,"9,210,830"
Bianca,@biancaandradeoficial,23/02/20,"9,226,172"
