name,instagram,image,18/01/20,19/01/20,20/01/20,21/01/20,22/01/20,23/01/20,24/01/20,25/01/20,26/01/20,27/01/20,28/01/20,29/01/20,30/01/20,31/01/20,01/02/20,02/02/20,03/02/20,04/02/20,05/02/20,06/02/20,07/02/20,08/02/20,09/02/20,10/02/20,11/02/20,12/02/20,13/02/20,14/02/20,15/02/20,16/02/20,17/02/20,18/02/20,19/02/20,20/02/20,21/02/20,22/02/20,23/02/20,24/02/20,25/02/20,26/02/20,27/02/20
Babu,@babusantana,https://s2.glbimg.com/xM4lZI5btPrUiyailc19W2XMYfI=/120x120/top/smart/s2.glbimg.com/tcpZux4ZdyYRuNrlJfz5d8X48n8=/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/S/K/jraPzSRuyCTnR8U3YKJw/babu-santana.png,0,45011,48057,50474,59790,78419,107928,133687,154465,164950,175564,188974,206756,222527,235042,254373,280500,299209,340333,389241,618171,777464,815656,875027,920978,967775,991966,1005486,1006471,1001983,1008186,1008274,1013156,1017409,1023081,1028489,1028921,1032659,1036030,1051818,1057022
Bianca,@biancaandradeoficial,https://s2.glbimg.com/h2CrJhfu_EY5vKg3eUVi_RI7p4g=/120x120/top/smart/s2.glbimg.com/2aVe8gSGrkTr87qe39UvJ5toQpc=/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/H/R/La0hDxTo6IQxzoHKfWBA/bianca-andrade.png,8292559,8394334,8421172,8444223,8522854,8587868,8628250,8731298,8828256,8904889,9006282,9098570,9206675,9258997,9300692,9354153,9285828,9103493,9058958,9056026,9064330,9069882,9078813,9080964,9092825,9114374,9129135,9140760,9141997,9147687,9156470,9167660,9178045,9193228,9205446,9210830,9226172,9231414,9245986,9738961,9889829
Chumbo,@lucaschumbo,https://s2.glbimg.com/B1REfPMUA-Y6G7QhZnz-x0HXgXA=/120x120/top/smart/s2.glbimg.com/LQivLk_We2ORERnWvaIPbGpm4hQ=/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/v/5/Css9VrQHOAEvhdShXoaQ/lucas-chumbo.png,0,133754,136945,139135,148681,157354,168999,179002,184548,199282,209696,268342,300198,312044,319433,327188,334656,339444,348820,357230,363204,366292,368293,370305,372764,387433,391866,394029,395241,397038,398744,400251,403937,406417,408510,410300,411329,412755,413518,416599,418334
Daniel,@daniel_lenhardt,https://s2.glbimg.com/j1IpGP6Hmk-0meLggsHLT567E-c=/120x120/top/smart/s2.glbimg.com/XtYcP-2a97PGyM_pHed8-ihkNm4=/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/h/4/CE1kxsQQC9C8OBDWxT4A/daniel.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144426,160723,176905,369526,527425,621609,641674,679409,729069,781937,813785,836332,853931,867103,876779,882239,890391,894778,898640,900709,901202,908294,917750,922839,939266,943594
Flayslane,@laneeoficial,https://s2.glbimg.com/jF31RtGucm0ZWzZ8PY8Yh7jBmME=/120x120/top/smart/s2.glbimg.com/Bs_lYRlr9KzNQDutDxeuNtbTkGo=/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/a/d/MqHNKbSGqmMFFBBzQEmg/flayslane.png,0,145385,155805,162208,192856,278991,311903,336206,364715,379697,397346,418121,450743,479912,496930,512333,536985,553178,584160,609564,637056,655025,667045,688638,716497,744806,774516,801063,816707,833500,847198,863547,883617,899100,912740,924397,943108,950044,962286,1009158,1031755
Gabi,@gabimartins,https://s2.glbimg.com/hUslnOus9OQIhdQhc3QDnluAvP0=/120x120/top/smart/s2.glbimg.com/90vDc-r-hALcQ0TRNcnmAPEEyiY=/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/w/r/GcOxHZTAyYpr8KBhOfag/gabi-martins.png,0,1190702,1208033,1222406,1252972,1277821,1303717,1327997,1353880,1394455,1419641,1451233,1509000,1565102,1603103,1644948,1705496,1755591,1838772,1953495,2085413,2110590,2149323,2262454,2570551,2669766,2756439,2816737,2864674,2901556,2936184,2977433,3031967,3075569,3118383,3158797,3179832,3213262,3238996,3310504,3365473
Gizelle,@gizellybicalho,https://s2.glbimg.com/b4R29UrPo5IwUF_upfmaPR049NM=/120x120/top/smart/s2.glbimg.com/ceFZpKQxyOGwTBYVMt9ByxsIeXo=/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/o/y/RSc5EyR5q5Abj0ovWP0w/gizelly.png,0,51970,57012,60831,74734,86736,99043,111559,122267,131632,144809,163255,198939,219541,236617,262261,295477,334264,394952,522284,580994,594434,621436,657996,709000,757624,796898,826232,890648,937334,967518,1032747,1084889,1104346,1161606,1195895,1217204,1249526,1277717,1336133,1372716
Guilherme,@guinapolitano,https://s2.glbimg.com/uN-w2cwK87EE0N5lkqhkFBE_bDA=/120x120/top/smart/s2.glbimg.com/6Ha_gjb_kgkO-9r79JhZB3jD9CQ=/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/u/1/nJ6mA2RXWdVwCljIfjnQ/guilherme.png,0,42422,45947,48772,58633,68048,80921,91108,100605,112325,127701,147174,170603,201697,229079,263245,301579,328856,404657,490939,605338,654709,689032,728831,779899,823385,859294,894382,918558,941673,960584,980341,1006463,1027519,1046015,1063984,1079411,1093431,1102831,1139164,1160527
Hadson,@hadsonnery_oficial,https://s2.glbimg.com/BmRa9fTF02wAaTNcXMryxdW2e_g=/120x120/top/smart/s2.glbimg.com/SXmylaBZYI1W0kVIvKwEyTuHRTw=/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/P/F/IYeV47Q42CkGEcHaah0g/hadson.png,0,21840,25030,27286,34032,37183,40410,43209,44342,45270,46512,48390,50734,51952,53736,55485,57535,58904,62300,64375,68672,71252,73406,75753,77997,97347,117809,122189,124744,128264,130680,132304,135584,138852,140545,142175,143805,145650,146714,152182,154120
Ivy,@ivymoraes,https://s2.glbimg.com/epfgloUtp-dvc9MTocRelzaiqfE=/120x120/top/smart/s2.glbimg.com/2KAAAFJy4TxwmBKH73_yWlVLW0s=/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/C/5/1JOX3PTaWVadbCPWrt5g/ivy.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121491,148320,165198,288727,382712,437099,445929,464041,499192,534261,565261,592793,615302,631764,654908,670919,687534,707114,726902,748858,764059,783872,815259,830426,873013,900611
