name,instagram,date,followers,days
Babu,@babusantana,01-18-2020,0,1
Babu,@babusantana,01-19-2020,"45,011",2
Babu,@babusantana,01-20-2020,"48,057",3
Babu,@babusantana,01-21-2020,"50,474",4
Babu,@babusantana,01-22-2020,"59,790",5
Babu,@babusantana,01-23-2020,"78,419",6
Babu,@babusantana,01-24-2020,"107,928",7
Babu,@babusantana,01-25-2020,"133,687",8
Babu,@babusantana,01-26-2020,"154,465",9
Babu,@babusantana,01-27-2020,"164,950",10
Babu,@babusantana,01-28-2020,"175,564",11
Babu,@babusantana,01-29-2020,"188,974",12
Babu,@babusantana,01-30-2020,"206,756",13
Babu,@babusantana,01-31-2020,"222,527",14
Babu,@babusantana,02-01-2020,"235,042",15
Babu,@babusantana,02-02-2020,"254,373",16
Babu,@babusantana,02-03-2020,"280,500",17
Babu,@babusantana,02-04-2020,"299,209",18
Babu,@babusantana,02-05-2020,"340,333",19
Babu,@babusantana,02-06-2020,"389,241",20
Babu,@babusantana,02-07-2020,"618,171",21
Babu,@babusantana,02-08-2020,"777,464",22
Babu,@babusantana,02-09-2020,"815,656",23
Babu,@babusantana,02-10-2020,"875,027",24
Babu,@babusantana,02-11-2020,"920,978",25
Babu,@babusantana,02-12-2020,"967,775",26
Babu,@babusantana,02-13-2020,"991,966",27
Babu,@babusantana,02-14-2020,"1,005,486",28
Babu,@babusantana,02-15-2020,"1,006,471",29
Babu,@babusantana,02-16-2020,"1,001,983",30
Babu,@babusantana,02-17-2020,"1,008,186",31
Babu,@babusantana,02-18-2020,"1,008,274",32
Babu,@babusantana,02-19-2020,"1,013,156",33
Babu,@babusantana,02-20-2020,"1,017,409",34
Babu,@babusantana,02-21-2020,"1,023,081",35
Babu,@babusantana,02-22-2020,"1,028,489",36
Babu,@babusantana,02-23-2020,"1,028,921",37
Bianca,@biancaandradeoficial,01-18-2020,"8,292,559",1
Bianca,@biancaandradeoficial,01-19-2020,"8,394,334",2
Bianca,@biancaandradeoficial,01-20-2020,"8,421,172",3
Bianca,@biancaandradeoficial,01-21-2020,"8,444,223",4
Bianca,@biancaandradeoficial,01-22-2020,"8,522,854",5
Bianca,@biancaandradeoficial,01-23-2020,"8,587,868",6
Bianca,@biancaandradeoficial,01-24-2020,"8,628,250",7
Bianca,@biancaandradeoficial,01-25-2020,"8,731,298",8
Bianca,@biancaandradeoficial,01-26-2020,"8,828,256",9
Bianca,@biancaandradeoficial,01-27-2020,"8,904,889",10
Bianca,@biancaandradeoficial,01-28-2020,"9,006,282",11
Bianca,@biancaandradeoficial,01-29-2020,"9,098,570",12
Bianca,@biancaandradeoficial,01-30-2020,"9,206,675",13
Bianca,@biancaandradeoficial,01-31-2020,"9,258,997",14
Bianca,@biancaandradeoficial,02-01-2020,"9,300,692",15
Bianca,@biancaandradeoficial,02-02-2020,"9,354,153",16
Bianca,@biancaandradeoficial,02-03-2020,"9,285,828",17
Bianca,@biancaandradeoficial,02-04-2020,"9,103,493",18
Bianca,@biancaandradeoficial,02-05-2020,"9,058,958",19
Bianca,@biancaandradeoficial,02-06-2020,"9,056,026",20
Bianca,@biancaandradeoficial,02-07-2020,"9,064,330",21
Bianca,@biancaandradeoficial,02-08-2020,"9,069,882",22
Bianca,@biancaandradeoficial,02-09-2020,"9,078,813",23
Bianca,@biancaandradeoficial,02-10-2020,"9,080,964",24
Bianca,@biancaandradeoficial,02-11-2020,"9,092,825",25
Bianca,@biancaandradeoficial,02-12-2020,"9,114,374",26
Bianca,@biancaandradeoficial,02-13-2020,"9,129,135",27
Bianca,@biancaandradeoficial,02-14-2020,"9,140,760",28
Bianca,@biancaandradeoficial,02-15-2020,"9,141,997",29
Bianca,@biancaandradeoficial,02-16-2020,"9,147,687",30
Bianca,@biancaandradeoficial,02-17-2020,"9,156,470",31
Bianca,@biancaandradeoficial,02-18-2020,"9,167,660",32
Bianca,@biancaandradeoficial,02-19-2020,"9,178,045",33
Bianca,@biancaandradeoficial,02-20-2020,"9,193,228",34
Bianca,@biancaandradeoficial,02-21-2020,"9,205,446",35
Bianca,@biancaandradeoficial,02-22-2020,"9,210,830",36
Bianca,@biancaandradeoficial,02-23-2020,"9,226,172",37
