name;instagram;date;followers;days
Babu;@babusantana;01-18-2020;0;1
Babu;@babusantana;01-19-2020;45011;2
Babu;@babusantana;01-20-2020;48057;3
Babu;@babusantana;01-21-2020;50474;4
Babu;@babusantana;01-22-2020;59790;5
Babu;@babusantana;01-23-2020;78419;6
Babu;@babusantana;01-24-2020;107928;7
Babu;@babusantana;01-25-2020;133687;8
Babu;@babusantana;01-26-2020;154465;9
Babu;@babusantana;01-27-2020;164950;10
Babu;@babusantana;01-28-2020;175564;11
Babu;@babusantana;01-29-2020;188974;12
Babu;@babusantana;01-30-2020;206756;13
Babu;@babusantana;01-31-2020;222527;14
Babu;@babusantana;02/01/2020;235042;15
Babu;@babusantana;02/02/2020;254373;16
Babu;@babusantana;02/03/2020;280500;17
Babu;@babusantana;02/04/2020;299209;18
Babu;@babusantana;02/05/2020;340333;19
Babu;@babusantana;02/06/2020;389241;20
Babu;@babusantana;02/07/2020;618171;21
Babu;@babusantana;02/08/2020;777464;22
Babu;@babusantana;02/09/2020;815656;23
Babu;@babusantana;02/10/2020;875027;24
Babu;@babusantana;02/11/2020;920978;25
Babu;@babusantana;02/12/2020;967775;26
Babu;@babusantana;02-13-2020;991966;27
Babu;@babusantana;02-14-2020;1005486;28
Babu;@babusantana;02-15-2020;1006471;29
Babu;@babusantana;02-16-2020;1001983;30
Babu;@babusantana;02-17-2020;1008186;31
Babu;@babusantana;02-18-2020;1008274;32
Babu;@babusantana;02-19-2020;1013156;33
Babu;@babusantana;02-20-2020;1017409;34
Babu;@babusantana;02-21-2020;1023081;35
Babu;@babusantana;02-22-2020;1028489;36
Babu;@babusantana;02-23-2020;1028921;37
Bianca;@biancaandradeoficial;01-18-2020;8292559;1
Bianca;@biancaandradeoficial;01-19-2020;8394334;2
Bianca;@biancaandradeoficial;01-20-2020;8421172;3
Bianca;@biancaandradeoficial;01-21-2020;8444223;4
Bianca;@biancaandradeoficial;01-22-2020;8522854;5
Bianca;@biancaandradeoficial;01-23-2020;8587868;6
Bianca;@biancaandradeoficial;01-24-2020;8628250;7
Bianca;@biancaandradeoficial;01-25-2020;8731298;8
Bianca;@biancaandradeoficial;01-26-2020;8828256;9
Bianca;@biancaandradeoficial;01-27-2020;8904889;10
Bianca;@biancaandradeoficial;01-28-2020;9006282;11
Bianca;@biancaandradeoficial;01-29-2020;9098570;12
Bianca;@biancaandradeoficial;01-30-2020;9206675;13
Bianca;@biancaandradeoficial;01-31-2020;9258997;14
Bianca;@biancaandradeoficial;02/01/2020;9300692;15
Bianca;@biancaandradeoficial;02/02/2020;9354153;16
Bianca;@biancaandradeoficial;02/03/2020;9285828;17
Bianca;@biancaandradeoficial;02/04/2020;9103493;18
Bianca;@biancaandradeoficial;02/05/2020;9058958;19
Bianca;@biancaandradeoficial;02/06/2020;9056026;20
Bianca;@biancaandradeoficial;02/07/2020;9064330;21
Bianca;@biancaandradeoficial;02/08/2020;9069882;22
Bianca;@biancaandradeoficial;02/09/2020;9078813;23
Bianca;@biancaandradeoficial;02/10/2020;9080964;24
Bianca;@biancaandradeoficial;02/11/2020;9092825;25
Bianca;@biancaandradeoficial;02/12/2020;9114374;26
Bianca;@biancaandradeoficial;02-13-2020;9129135;27
Bianca;@biancaandradeoficial;02-14-2020;9140760;28
Bianca;@biancaandradeoficial;02-15-2020;9141997;29
Bianca;@biancaandradeoficial;02-16-2020;9147687;30
Bianca;@biancaandradeoficial;02-17-2020;9156470;31
Bianca;@biancaandradeoficial;02-18-2020;9167660;32
Bianca;@biancaandradeoficial;02-19-2020;9178045;33
Bianca;@biancaandradeoficial;02-20-2020;9193228;34
Bianca;@biancaandradeoficial;02-21-2020;9205446;35
Bianca;@biancaandradeoficial;02-22-2020;9210830;36
Bianca;@biancaandradeoficial;02-23-2020;9226172;37
